"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 29, 2022","153.59","154.44","154.69","153.43","979.01K","-0.36%"
"Apr 28, 2022","154.15","155.35","156.00","154.02","961.40K","-0.84%"
"Apr 27, 2022","155.46","155.45","155.83","154.82","779.88K","-0.02%"
"Apr 26, 2022","155.49","154.56","155.72","154.19","-","0.39%"
"Apr 25, 2022","154.89","153.14","155.26","153.11","814.83K","1.07%"
"Apr 22, 2022","153.25","153.47","153.92","153.05","732.99K","-0.36%"
"Apr 21, 2022","153.80","154.57","154.66","153.28","852.39K","-0.52%"
"Apr 20, 2022","154.61","153.44","155.00","153.25","773.03K","0.59%"
"Apr 19, 2022","153.70","154.55","154.70","153.29","753.45K","-0.65%"
"Apr 15, 2022","154.71","154.71","154.71","154.71","-","-0.15%"
"Apr 14, 2022","154.95","155.48","156.17","154.63","814.99K","-0.58%"
"Apr 13, 2022","155.86","155.10","155.91","154.51","759.54K","0.32%"
"Apr 12, 2022","155.36","154.75","155.76","154.27","820.62K","0.21%"
"Apr 11, 2022","155.03","156.13","156.19","154.93","738.45K","-0.98%"
"Apr 08, 2022","156.57","157.01","157.29","156.26","648.08K","-0.17%"
"Apr 07, 2022","156.83","157.59","157.87","156.40","911.68K","-0.26%"
"Apr 06, 2022","157.24","157.76","157.78","156.84","818.43K","-0.31%"
"Apr 05, 2022","157.73","159.31","159.42","157.62","832.87K","-0.86%"
"Apr 04, 2022","159.10","158.50","159.79","158.12","772.12K","0.47%"
"Apr 01, 2022","158.35","158.55","158.89","157.71","816.14K","-0.20%"
"Mar 31, 2022","158.66","157.04","159.05","156.90","999.82K","0.95%"
"Mar 30, 2022","157.16","157.53","158.06","156.37","878.66K","-0.13%"
"Mar 29, 2022","157.37","158.22","158.33","156.05","916.30K","-0.60%"
"Mar 28, 2022","158.32","158.47","158.67","157.65","694.00K","-0.21%"
"Mar 25, 2022","158.65","159.15","159.64","158.08","657.96K","-0.38%"
"Mar 24, 2022","159.26","160.05","160.26","158.73","737.86K","-0.34%"
"Mar 23, 2022","159.80","159.39","160.31","159.06","656.78K","0.23%"
"Mar 22, 2022","159.43","159.99","159.99","159.07","790.43K","-0.54%"
"Mar 21, 2022","160.30","161.26","161.34","159.77","526.10K","-0.66%"
"Mar 18, 2022","161.37","161.19","161.77","160.76","490.02K","0.22%"
"Mar 17, 2022","161.01","161.16","161.69","160.68","715.29K","-0.04%"
"Mar 16, 2022","161.07","161.63","161.81","160.56","690.10K","-0.56%"
"Mar 15, 2022","161.97","161.34","162.05","160.90","617.48K","0.47%"
"Mar 14, 2022","161.21","162.46","162.73","161.14","605.35K","-0.76%"
"Mar 11, 2022","162.44","162.94","163.20","162.01","647.56K","-0.21%"
"Mar 10, 2022","162.78","163.63","164.43","162.02","961.96K","-0.49%"
"Mar 09, 2022","163.58","164.96","165.29","163.38","850.51K","-2.91%"
"Mar 08, 2022","168.49","169.71","170.12","168.23","10.85K","-0.83%"
