Date,Open,High,Low,Close,Vol.,Change %,high_low,high_close,low_close,TR,ATR
"Jan 02, 2020",170.54,171.42,170.19,171.26,509.18K,0.45%,1.2299999999999898,,,1.2299999999999898,1.2299999999999898
"Jan 03, 2020",171.1,172.38,171.1,172.12,528.22K,0.50%,1.2800000000000011,1.1200000000000045,0.1599999999999966,1.2800000000000011,1.2549999999999955
"Jan 06, 2020",172.45,172.6,172.07,172.24,496.41K,0.07%,0.5300000000000011,0.47999999999998977,0.05000000000001137,0.5300000000000011,1.0133333333333308
"Jan 07, 2020",172.21,172.31,171.91,172.12,582.59K,-0.07%,0.4000000000000057,0.06999999999999318,0.3300000000000125,0.4000000000000057,0.8599999999999994
"Jan 08, 2020",172.5,173.22,171.26,171.78,825.68K,-0.20%,1.960000000000008,1.0999999999999943,0.8600000000000136,1.960000000000008,1.0800000000000012
"Jan 09, 2020",171.31,171.51,171.01,171.14,732.94K,-0.37%,0.5,0.27000000000001023,0.7700000000000102,0.7700000000000102,1.028333333333336
"Jan 10, 2020",171.31,171.43,170.85,171.35,555.74K,0.12%,0.5800000000000125,0.29000000000002046,0.28999999999999204,0.5800000000000125,0.9642857142857183
"Jan 13, 2020",171.36,171.43,170.71,170.76,611.44K,-0.34%,0.7199999999999989,0.0800000000000125,0.6399999999999864,0.7199999999999989,0.9337500000000034
"Jan 14, 2020",170.74,171.08,170.65,171.01,694.22K,0.15%,0.4300000000000068,0.3200000000000216,0.10999999999998522,0.4300000000000068,0.8777777777777815
"Jan 15, 2020",171.05,171.72,171.01,171.46,672.85K,0.26%,0.710000000000008,0.710000000000008,0.0,0.710000000000008,0.8610000000000042
"Jan 16, 2020",171.62,171.8,171.35,171.72,637.67K,0.15%,0.45000000000001705,0.3400000000000034,0.11000000000001364,0.45000000000001705,0.823636363636369
"Jan 17, 2020",171.66,171.82,171.46,171.61,484.60K,-0.06%,0.3599999999999852,0.09999999999999432,0.2599999999999909,0.3599999999999852,0.7850000000000037
"Jan 20, 2020",171.76,171.76,171.52,171.67,233.91K,0.03%,0.23999999999998067,0.14999999999997726,0.09000000000000341,0.23999999999998067,0.743076923076925
"Jan 21, 2020",171.75,172.27,171.55,172.21,752.51K,0.31%,0.7199999999999989,0.6000000000000227,0.11999999999997613,0.7199999999999989,0.7414285714285731
"Jan 22, 2020",172.04,172.5,171.91,172.33,584.94K,0.07%,0.5900000000000034,0.28999999999999204,0.30000000000001137,0.5900000000000034,0.7313333333333352
"Jan 23, 2020",172.41,173.09,172.35,173.03,765.00K,0.41%,0.7400000000000091,0.7599999999999909,0.01999999999998181,0.7599999999999909,0.7331250000000011
"Jan 24, 2020",172.82,173.54,172.6,173.28,812.60K,0.14%,0.9399999999999977,0.5099999999999909,0.4300000000000068,0.9399999999999977,0.7452941176470598
"Jan 27, 2020",173.75,174.27,173.41,174.23,892.31K,0.55%,0.8600000000000136,0.9900000000000091,0.12999999999999545,0.9900000000000091,0.7588888888888903
"Jan 28, 2020",174.11,174.48,173.48,173.68,885.02K,-0.32%,1.0,0.25,0.75,1.0,0.7715789473684224
"Jan 29, 2020",173.66,174.28,173.41,174.06,628.56K,0.22%,0.8700000000000045,0.5999999999999943,0.27000000000001023,0.8700000000000045,0.7765000000000015
"Jan 30, 2020",174.23,174.65,174.23,174.57,761.98K,0.29%,0.4200000000000159,0.5900000000000034,0.1699999999999875,0.5900000000000034,0.7676190476190492
"Jan 31, 2020",174.29,175.3,174.16,175.04,763.63K,0.27%,1.1400000000000148,0.7300000000000182,0.4099999999999966,1.1400000000000148,0.7845454545454568
"Feb 03, 2020",175.1,175.14,174.62,174.88,692.50K,-0.09%,0.5199999999999818,0.09999999999999432,0.4199999999999875,0.5199999999999818,0.7730434782608708
"Feb 04, 2020",175.06,175.07,174.25,174.53,837.83K,-0.20%,0.8199999999999932,0.18999999999999773,0.6299999999999955,0.8199999999999932,0.7750000000000009
"Feb 05, 2020",174.33,174.63,173.65,173.92,947.84K,-0.35%,0.9799999999999898,0.09999999999999432,0.8799999999999955,0.9799999999999898,0.7832000000000005
"Feb 06, 2020",173.71,173.96,173.42,173.82,762.86K,-0.06%,0.5400000000000205,0.040000000000020464,0.5,0.5400000000000205,0.7738461538461551
"Feb 07, 2020",173.87,174.42,173.84,174.18,725.07K,0.21%,0.5799999999999841,0.5999999999999943,0.020000000000010232,0.5999999999999943,0.7674074074074084
"Feb 10, 2020",174.33,174.69,174.01,174.57,500.71K,0.22%,0.6800000000000068,0.5099999999999909,0.17000000000001592,0.6800000000000068,0.7642857142857155
"Feb 11, 2020",174.48,174.55,174.13,174.26,766.47K,-0.18%,0.4200000000000159,0.01999999999998181,0.4399999999999977,0.4399999999999977,0.7531034482758632
"Feb 12, 2020",174.17,174.2,173.72,174.02,737.95K,-0.14%,0.47999999999998977,0.060000000000002274,0.539999999999992,0.539999999999992,0.7460000000000008
"Feb 13, 2020",174.16,174.64,174.05,174.27,879.84K,0.14%,0.589999999999975,0.6199999999999761,0.030000000000001137,0.6199999999999761,0.7419354838709677
"Feb 14, 2020",174.29,174.59,174.1,174.48,470.47K,0.12%,0.4900000000000091,0.3199999999999932,0.17000000000001592,0.4900000000000091,0.7340625000000003
"Feb 17, 2020",174.35,174.52,174.08,174.45,264.96K,-0.02%,0.4399999999999977,0.040000000000020464,0.39999999999997726,0.4399999999999977,0.7251515151515153
"Feb 18, 2020",174.51,174.92,174.29,174.53,761.81K,0.05%,0.6299999999999955,0.46999999999999886,0.1599999999999966,0.6299999999999955,0.7223529411764706
"Feb 19, 2020",174.41,174.74,174.28,174.66,635.29K,0.07%,0.46000000000000796,0.21000000000000796,0.25,0.46000000000000796,0.7148571428571432
